Date,Text,Media URLs
2026/08/13 08:00,"Nine years in recruitment. Then I was the one sending out CVs.

I knew the theory. Didn't make it any easier. So I built the tool I wanted on the other side of the desk: paste your CV and the advert, get it rewritten for that exact role, in your own words, with a hard honesty check so nothing's invented and the usual AI clichés are stripped out.

Then pick from 21 designs and download as Word or PDF. From £5 for four CVs. About the price of a coffee.

Your turn.

#CVTips #JobSearch #CVWriting #JobHunting #CareerAdvice

https://cv.the-common-people.com",https://the-common-people.com/social/2026-08-13_LinkedIn_CV-Rewrite.png
2026/08/14 08:00,"""Tell me about yourself."" The question everyone fluffs.

The Interview Prep Report builds your answer for you, from your real CV, weighted to the actual job you're going for. It also does the company research (sourced and linked, not plausible-sounding filler), gives you sharp questions to ask, and tidies your experience into clean STAR answers.

Ten minutes to fill in. Ready in under two. £15 a report. No subscription, just the report.

#InterviewPrep #InterviewTips #JobInterview #JobSearch #CareerAdvice

https://the-common-people.com/prep-report",https://the-common-people.com/social/2026-08-14_LinkedIn_Interview-Prep.png
2026/08/15 08:00,"Two tools. One week. I landed the job.

Rewrite the CV for the exact role. Prep properly for the interview. That's the whole journey, and I built a tool for each after nine years on the recruiter's side of the desk.

CV Rewrite, from £5. Interview Prep, £15 a report. No subscriptions, no upsell funnels.

The field guides stay free, always.

#JobSearch #JobHunting #CareerAdvice #InterviewPrep #CVTips

CV: https://cv.the-common-people.com  |  Prep: https://the-common-people.com/prep-report",https://the-common-people.com/social/2026-08-15_LinkedIn_Cross-sell.png
2026/08/16 08:00,"Don't let AI write your CV.

If a model writes it from scratch, your CV reads like everybody else's. Recruiters spot the pattern in seconds, and the moment they do, you stop sounding like a person.

Here's the line we drew: the CV Rewrite app tailors your real experience to the exact advert and runs a hard honesty check, nothing invented, clichés stripped, but the voice stays yours. Use AI to sharpen, not to impersonate you.

From £5 for four CVs.

#CVTips #JobSearch #CVWriting #JobHunting #CareerAdvice

https://cv.the-common-people.com",https://the-common-people.com/social/2026-08-16_LinkedIn_CV-Rewrite.png
2026/08/17 08:00,"Most interview prep is a generic PDF everyone gets.

Ours is built fresh from your CV and the actual job description. Real web research on the company, size, culture, leadership, recent news, employee sentiment from Glassdoor and Indeed, the pressures on their sector right now. All sourced and linked.

Then the honest bit: where you're strong, where there's a genuine gap, and a credible way to address it.

£15 a report. No subscription.

#InterviewPrep #InterviewTips #JobInterview #JobSearch #CareerAdvice

https://the-common-people.com/prep-report",https://the-common-people.com/social/2026-08-17_LinkedIn_Interview-Prep.png
2026/08/18 08:00,"Stop applying for 200 jobs.

Spraying the same CV at every role is a numbers game you lose. Apply for two, and spend the time you saved making your CV land hard on each one.

That's exactly what the CV Rewrite app is for: paste your CV and the advert, get a version tuned to that specific role in minutes. Never lie. But you decide which experience to lead with, application by application.

From £5.

#CVTips #JobSearch #CVWriting #JobHunting #CareerAdvice

https://cv.the-common-people.com",https://the-common-people.com/social/2026-08-18_LinkedIn_CV-Rewrite.png
2026/08/19 08:00,"Everything we publish is free. The guides, the dispatches, the monthly Loudspeaker email, no subscription, no premium tier, no catch.

But if you've got an interview coming up and want it handled properly, or a CV that needs to fit one exact role, we built two tools for the price of a coffee.

Free to learn it yourself. Cheap to have it done for you. Your call.

#JobSearch #JobHunting #CareerAdvice #InterviewPrep #CVTips

CV: https://cv.the-common-people.com  |  Prep: https://the-common-people.com/prep-report",https://the-common-people.com/social/2026-08-19_LinkedIn_Cross-sell.png
2026/08/20 08:00,"The prep nobody does: what's actually going wrong inside the company you're interviewing at.

The Interview Prep Report pulls the honest version, recent news, sector pressure, the real themes from employee reviews, so you can walk in and talk about the challenges of the role like someone who's already thought about them.

That's the difference between answering questions and having a conversation.

£15 a report. No subscription.

#InterviewPrep #InterviewTips #JobInterview #JobSearch #CareerAdvice

https://the-common-people.com/prep-report",https://the-common-people.com/social/2026-08-20_LinkedIn_Interview-Prep.png
2026/08/21 08:00,"'Microsoft Office' is not a skill.

Your skills section should do work, not take up space. The CV Rewrite app pulls the real, provable things you've done that make you right for the advert in front of you, and cuts the filler that's on everyone else's CV.

21 designs. Word or PDF. Honesty-checked. From £5 for four CVs.

#CVTips #JobSearch #CVWriting #JobHunting #CareerAdvice

https://cv.the-common-people.com",https://the-common-people.com/social/2026-08-21_LinkedIn_CV-Rewrite.png
2026/08/22 08:00,"One report, or a pack for a run of interviews.

A single Interview Prep Report is £15. Prepping for several? Packs bring it down: 3 for £20, 5 for £25. No subscription, no catch.

Each one is built from your CV and the specific job: company research, a tailored pitch, sharp questions, STAR answers from your real experience. Ready in minutes.

#InterviewPrep #InterviewTips #JobInterview #JobSearch #CareerAdvice

https://the-common-people.com/prep-report",https://the-common-people.com/social/2026-08-22_LinkedIn_Interview-Prep.png
2026/08/23 08:00,"The two moments that decide a job hunt: the CV that gets you the interview, and the interview itself.

We built a tool for each. Rewrite your CV to the exact advert, from £5. Get a fully-researched prep report for the interview, from £15.

Same people who write the free field guides. Just the shortcut, if you want it.

#JobSearch #JobHunting #CareerAdvice #InterviewPrep #CVTips

CV: https://cv.the-common-people.com  |  Prep: https://the-common-people.com/prep-report",https://the-common-people.com/social/2026-08-23_LinkedIn_Cross-sell.png
2026/08/24 08:00,"A CV that fits the job. Not a template with your name in it.

Paste your CV and the advert. We rewrite it to that exact role, in your own words, pulling out the real things you've done that make you right for it. Hard honesty check means nothing's invented and the AI sameness is stripped out.

Then pick from 21 designs, download as Word or PDF. From £5. No subscription.

#CVTips #JobSearch #CVWriting #JobHunting #CareerAdvice

https://cv.the-common-people.com",https://the-common-people.com/social/2026-08-24_LinkedIn_CV-Rewrite.png
2026/08/25 08:00,"Your 'tell me about yourself' answer, built from your real CV and weighted to the job you actually want.

Not a script to memorise. A proper opening pitch you can make your own, plus gap analysis, company research and STAR answers, all in one report.

Ten minutes in. Under two minutes back. £15 a report. No subscription.

#InterviewPrep #InterviewTips #JobInterview #JobSearch #CareerAdvice

https://the-common-people.com/prep-report",https://the-common-people.com/social/2026-08-25_LinkedIn_Interview-Prep.png
2026/08/26 08:00,"The personal statement is the most-written, worst-written section on most CVs.

It usually reads like a recruitment website wrote it. The fix is simpler than you think: sound like a person, be specific, and tie it to the role you're applying for.

The CV Rewrite app does exactly that, rewrites yours for the actual advert, in your voice, honesty-checked. From £5 for four CVs.

#CVTips #JobSearch #CVWriting #JobHunting #CareerAdvice

https://cv.the-common-people.com",https://the-common-people.com/social/2026-08-26_LinkedIn_CV-Rewrite.png
2026/08/27 08:00,"I built these after nine years in recruitment, when I found myself job-hunting like everyone else.

One tool to rewrite my CV for the exact role. One to prep for the interview. A week later I'd landed the job, so we put both on The Com'mon People for about the price of a coffee.

Same tools. Your turn.

#JobSearch #JobHunting #CareerAdvice #InterviewPrep #CVTips

CV: https://cv.the-common-people.com  |  Prep: https://the-common-people.com/prep-report",https://the-common-people.com/social/2026-08-27_LinkedIn_Cross-sell.png
2026/08/28 08:00,"Interview in 48 hours and no time to prep?

Paste your CV and the job spec, answer a handful of questions by voice or text, and get a full report back in under two minutes: company research, your pitch, sharp questions, STAR answers.

Ten minutes of your evening. £15 a report. No subscription.

#InterviewPrep #InterviewTips #JobInterview #JobSearch #CareerAdvice

https://the-common-people.com/prep-report",https://the-common-people.com/social/2026-08-28_LinkedIn_Interview-Prep.png
